id,title,description,instructor,duration,rating,enrolledCount,imageUrl,category,level,price,isFree
course_1,Design Course 1: Complete Guide,Learn design from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,8 hours,4.6,2056,https://picsum.photos/400/300?random=1,Design,Beginner,178.43,False
course_2,Music Course 2: Master Guide,Learn music from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Jennifer Brown,8 hours,3.5,1841,https://picsum.photos/400/300?random=2,Music,Beginner,0.0,True
course_3,Health Course 3: Master Guide,Learn health from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Emily Rodriguez,10 hours,3.8,4877,https://picsum.photos/400/300?random=3,Health,Intermediate,68.05,False
course_4,Photography Course 4: Advanced Guide,Learn photography from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Christopher Lee,12 hours,3.6,842,https://picsum.photos/400/300?random=4,Photography,Beginner,0.0,True
course_5,Writing Course 5: Advanced Guide,Learn writing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Christopher Lee,4 hours,3.7,3150,https://picsum.photos/400/300?random=5,Writing,Advanced,72.32,False
course_6,Design Course 6: Complete Guide,Learn design from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,4 hours,4.5,2420,https://picsum.photos/400/300?random=6,Design,Beginner,90.68,False
course_7,Business Course 7: Complete Guide,Learn business from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Jennifer Brown,4 hours,4.0,2237,https://picsum.photos/400/300?random=7,Business,Intermediate,32.68,False
course_8,Health Course 8: Master Guide,Learn health from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. James Wilson,8 hours,4.5,508,https://picsum.photos/400/300?random=8,Health,Beginner,13.24,False
course_9,Language Course 9: Essential Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Emily Rodriguez,16 hours,4.0,4139,https://picsum.photos/400/300?random=9,Language,Advanced,0.0,True
course_10,Health Course 10: Essential Guide,Learn health from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. James Wilson,16 hours,3.9,4838,https://picsum.photos/400/300?random=10,Health,Advanced,0.0,True
course_11,Health Course 11: Complete Guide,Learn health from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Emily Rodriguez,4 hours,3.6,435,https://picsum.photos/400/300?random=11,Health,Intermediate,84.43,False
course_12,Music Course 12: Master Guide,Learn music from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,10 hours,5.0,4384,https://picsum.photos/400/300?random=12,Music,Advanced,107.39,False
course_13,Photography Course 13: Master Guide,Learn photography from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Lisa Anderson,20 hours,3.9,1345,https://picsum.photos/400/300?random=13,Photography,Beginner,152.38,False
course_14,Design Course 14: Complete Guide,Learn design from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. James Wilson,8 hours,3.9,4208,https://picsum.photos/400/300?random=14,Design,Advanced,107.87,False
course_15,Health Course 15: Master Guide,Learn health from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. James Wilson,2 hours,4.4,4052,https://picsum.photos/400/300?random=15,Health,Beginner,166.32,False
course_16,Programming Course 16: Essential Guide,Learn programming from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,4 hours,4.8,695,https://picsum.photos/400/300?random=16,Programming,Beginner,106.54,False
course_17,Writing Course 17: Complete Guide,Learn writing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Jennifer Brown,16 hours,3.7,4372,https://picsum.photos/400/300?random=17,Writing,Advanced,137.97,False
course_18,Music Course 18: Master Guide,Learn music from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. David Kim,20 hours,4.5,3638,https://picsum.photos/400/300?random=18,Music,Advanced,0.0,True
course_19,Language Course 19: Master Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Sarah Johnson,2 hours,3.8,1854,https://picsum.photos/400/300?random=19,Language,Advanced,0.0,True
course_20,Photography Course 20: Complete Guide,Learn photography from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Jennifer Brown,20 hours,4.3,2331,https://picsum.photos/400/300?random=20,Photography,Beginner,0.0,True
course_21,Language Course 21: Complete Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,16 hours,4.2,3924,https://picsum.photos/400/300?random=21,Language,Advanced,0.0,True
course_22,Music Course 22: Master Guide,Learn music from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,4 hours,4.2,493,https://picsum.photos/400/300?random=22,Music,Intermediate,160.11,False
course_23,Marketing Course 23: Complete Guide,Learn marketing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Lisa Anderson,16 hours,4.3,1198,https://picsum.photos/400/300?random=23,Marketing,Beginner,174.89,False
course_24,Health Course 24: Master Guide,Learn health from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. David Kim,2 hours,3.6,4478,https://picsum.photos/400/300?random=24,Health,Beginner,0.0,True
course_25,Marketing Course 25: Master Guide,Learn marketing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,16 hours,4.9,1398,https://picsum.photos/400/300?random=25,Marketing,Intermediate,0.0,True
course_26,Writing Course 26: Complete Guide,Learn writing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. David Kim,20 hours,4.1,4602,https://picsum.photos/400/300?random=26,Writing,Intermediate,0.0,True
course_27,Language Course 27: Master Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Christopher Lee,2 hours,4.3,2619,https://picsum.photos/400/300?random=27,Language,Advanced,183.87,False
course_28,Programming Course 28: Master Guide,Learn programming from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. David Kim,4 hours,3.6,1572,https://picsum.photos/400/300?random=28,Programming,Advanced,188.31,False
course_29,Language Course 29: Advanced Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Lisa Anderson,16 hours,3.6,721,https://picsum.photos/400/300?random=29,Language,Advanced,0.0,True
course_30,Marketing Course 30: Advanced Guide,Learn marketing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,20 hours,4.1,2507,https://picsum.photos/400/300?random=30,Marketing,Intermediate,0.0,True
course_31,Language Course 31: Complete Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. James Wilson,10 hours,3.6,1796,https://picsum.photos/400/300?random=31,Language,Beginner,175.85,False
course_32,Business Course 32: Advanced Guide,Learn business from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,2 hours,4.8,2528,https://picsum.photos/400/300?random=32,Business,Intermediate,26.86,False
course_33,Design Course 33: Complete Guide,Learn design from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. James Wilson,10 hours,4.3,2281,https://picsum.photos/400/300?random=33,Design,Advanced,0.0,True
course_34,Data Science Course 34: Essential Guide,Learn data science from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Lisa Anderson,4 hours,4.2,466,https://picsum.photos/400/300?random=34,Data Science,Advanced,0.0,True
course_35,Business Course 35: Essential Guide,Learn business from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Jennifer Brown,20 hours,5.0,1373,https://picsum.photos/400/300?random=35,Business,Advanced,0.0,True
course_36,Business Course 36: Essential Guide,Learn business from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Emily Rodriguez,6 hours,3.6,3074,https://picsum.photos/400/300?random=36,Business,Advanced,0.0,True
course_37,Programming Course 37: Advanced Guide,Learn programming from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Jennifer Brown,4 hours,3.8,2094,https://picsum.photos/400/300?random=37,Programming,Intermediate,81.27,False
course_38,Business Course 38: Master Guide,Learn business from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Emily Rodriguez,16 hours,4.8,1500,https://picsum.photos/400/300?random=38,Business,Beginner,66.43,False
course_39,Marketing Course 39: Master Guide,Learn marketing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Robert Taylor,16 hours,3.7,935,https://picsum.photos/400/300?random=39,Marketing,Intermediate,0.0,True
course_40,Writing Course 40: Master Guide,Learn writing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. David Kim,8 hours,4.0,1914,https://picsum.photos/400/300?random=40,Writing,Intermediate,55.72,False
course_41,Data Science Course 41: Master Guide,Learn data science from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,12 hours,4.5,3324,https://picsum.photos/400/300?random=41,Data Science,Intermediate,52.24,False
course_42,Data Science Course 42: Advanced Guide,Learn data science from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,12 hours,3.7,3609,https://picsum.photos/400/300?random=42,Data Science,Beginner,102.28,False
course_43,Language Course 43: Complete Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. James Wilson,2 hours,3.9,3622,https://picsum.photos/400/300?random=43,Language,Beginner,189.77,False
course_44,Language Course 44: Advanced Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,10 hours,4.5,1070,https://picsum.photos/400/300?random=44,Language,Intermediate,139.43,False
course_45,Marketing Course 45: Advanced Guide,Learn marketing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,6 hours,4.5,3155,https://picsum.photos/400/300?random=45,Marketing,Intermediate,0.08,False
course_46,Music Course 46: Essential Guide,Learn music from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Robert Taylor,20 hours,4.4,2689,https://picsum.photos/400/300?random=46,Music,Advanced,102.23,False
course_47,Business Course 47: Master Guide,Learn business from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. David Kim,12 hours,3.6,4272,https://picsum.photos/400/300?random=47,Business,Advanced,44.93,False
course_48,Programming Course 48: Essential Guide,Learn programming from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,4 hours,3.9,3942,https://picsum.photos/400/300?random=48,Programming,Beginner,115.13,False
course_49,Music Course 49: Master Guide,Learn music from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,2 hours,4.1,1258,https://picsum.photos/400/300?random=49,Music,Intermediate,0.0,True
course_50,Health Course 50: Essential Guide,Learn health from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Emily Rodriguez,4 hours,3.6,2091,https://picsum.photos/400/300?random=50,Health,Intermediate,133.51,False
